행정기관코드,행정기관,총 인구수,연령구간인구수,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
3611000000,세종특별자치시 세종특별자치시 세종특별자치시 ,"383,591","383,591","3,100","3,611","3,655","4,114","4,484","4,889","5,383","5,769","5,510","5,436","5,955","5,591","5,518","5,203","5,290","5,044","4,516","4,022","4,065","3,798","3,460","3,480","3,740","3,497","3,560","3,509","3,772","4,125","4,543","4,693","5,337","5,577","5,400","5,565","5,974","6,050","6,359","6,495","6,776","7,550","8,675","8,610","8,408","8,505","6,985","7,452","6,978","6,856","7,096","6,939","6,388","6,580","5,999","5,632","5,469","4,786","4,317","4,357","4,337","3,802","4,355","4,491","4,372","3,962","3,606","3,545","3,235","3,316","2,767","2,139","2,439","1,678","1,893","1,880","1,651","1,590","1,231","1,079","1,159","1,105","1,339","1,114",883,953,805,701,688,648,521,427,359,260,224,185,137,89,65,34,19,26,35
3611025000,세종특별자치시  조치원읍,"42,309","42,309",184,186,202,231,220,252,307,349,365,338,445,410,450,390,455,419,350,371,433,429,503,548,694,694,703,637,613,675,621,586,637,530,503,424,512,425,499,460,518,528,655,646,642,693,593,643,620,668,676,754,709,774,707,709,706,650,615,630,634,600,632,697,676,615,541,582,559,588,487,396,438,321,372,359,322,315,266,247,247,243,302,264,202,220,186,141,140,114,91,70,60,49,42,33,17,22,12,7,6,1,7
3611031000,세종특별자치시  연기면,"2,650","2,650",10,10,5,10,8,5,4,5,8,8,14,8,6,5,5,5,4,16,14,10,12,23,27,24,30,37,46,49,61,42,58,47,33,33,43,31,26,31,25,34,26,33,37,28,24,30,30,37,34,38,35,46,47,52,44,38,45,50,59,50,60,61,71,65,41,60,55,58,40,42,39,25,26,29,23,30,23,17,22,17,23,26,12,20,16,19,11,14,11,7,8,8,4,3,6,1,0,0,0,0,2
3611032000,세종특별자치시  연동면,"2,966","2,966",2,8,5,8,4,7,9,5,10,13,15,5,7,10,8,9,16,12,11,14,17,16,17,20,23,24,31,26,39,30,31,25,25,23,23,29,15,28,24,30,32,26,29,32,22,33,31,29,33,40,36,33,46,55,46,35,49,47,57,55,71,78,89,77,66,70,82,72,66,52,59,45,41,48,54,40,41,28,29,40,36,37,26,26,38,23,31,32,33,23,21,13,8,12,5,4,4,3,0,1,2
3611033000,세종특별자치시  부강면,"5,878","5,878",18,18,23,31,26,17,29,25,37,32,41,32,41,28,31,31,42,24,37,31,40,45,38,50,59,65,75,102,93,77,69,90,76,71,58,52,49,51,71,60,80,74,61,75,72,83,76,63,76,83,74,89,91,86,109,120,108,101,99,111,128,141,128,120,103,124,108,117,102,81,94,60,46,59,60,85,61,55,48,53,78,55,54,59,47,39,35,30,10,25,15,17,5,7,7,4,2,0,0,0,0
3611034000,세종특별자치시  금남면,"8,682","8,682",10,21,30,28,29,30,20,31,35,34,39,35,32,48,34,38,30,26,40,40,44,59,60,70,96,92,118,104,87,110,112,95,106,85,95,79,71,75,74,65,114,103,95,92,80,102,76,101,122,118,114,134,121,148,130,167,143,183,171,164,194,212,228,197,184,189,184,215,172,121,139,128,143,138,115,96,81,77,84,103,139,107,84,80,56,64,65,58,52,47,32,16,31,19,7,6,5,1,2,4,2
3611035000,세종특별자치시  장군면,"6,890","6,890",9,20,25,13,26,15,24,30,19,29,32,25,16,21,29,32,29,31,29,59,69,69,83,72,93,91,103,108,119,119,131,129,96,98,95,90,71,80,85,82,83,90,100,97,70,71,83,93,104,112,117,132,133,129,136,119,120,121,154,129,142,151,158,125,149,123,100,124,93,67,103,66,90,67,73,48,45,31,60,39,66,36,33,40,53,40,36,37,29,17,20,15,7,6,6,2,1,0,1,1,1
3611036000,세종특별자치시  연서면,"7,215","7,215",26,21,12,22,37,22,29,38,34,27,44,42,37,39,43,31,27,42,43,46,54,45,82,89,81,83,87,97,96,95,109,81,75,70,43,59,58,68,76,58,69,66,72,78,77,80,86,71,79,99,92,132,114,119,117,107,116,108,128,105,152,193,180,173,141,135,153,143,124,107,131,92,109,117,85,86,65,61,81,77,107,83,66,76,67,66,50,53,35,32,21,19,13,12,11,5,2,3,1,3,2
3611037000,세종특별자치시  전의면,"5,483","5,483",7,11,7,9,13,15,24,22,24,29,34,20,38,30,40,37,29,32,38,38,35,49,42,46,55,59,54,59,62,60,52,48,61,29,41,42,40,45,46,64,58,61,50,58,49,52,61,67,97,81,73,96,91,79,111,91,94,123,116,96,135,126,132,133,105,93,105,115,106,64,102,56,68,87,65,66,53,57,66,52,74,62,59,79,56,40,47,43,34,29,24,9,10,10,8,3,7,5,1,4,3
3611038000,세종특별자치시  전동면,"3,270","3,270",2,1,6,6,8,7,8,9,12,12,6,7,11,5,17,9,14,7,16,9,13,17,24,22,25,16,26,30,31,22,33,24,22,18,13,20,28,19,18,22,31,31,31,28,23,30,23,34,39,39,27,52,43,64,72,66,64,74,71,64,90,86,101,102,92,91,74,74,95,68,76,41,68,65,50,55,27,37,41,31,48,47,25,36,29,26,35,31,20,22,20,16,7,8,6,2,2,3,1,1,0
